categorie,kw,volume,tld,hl,importance,url,pixelPos,status,tendance,pos,13 sept. 22,30 mars 22,20 mai 2021,?,8 déc 2020,23 nov 20,29 sept 2020,22 sept 2020,12 Sept,1 Sept,Aou 23,Aou 7,Jul 28,Jul 9,Jul 5 2020,Juine 27 2020,Juine 18 2020,May 31 2020,May 9 2020,Apr 22 2020
activité – neige,bivouac vercors hiver,0,fr,fr,3,https://piedvert.com/bivouac-vercors,"3402,13",...,+,,13,17,10,10,9,7,7,10,7,9,6,7,7,7,6,6,9,9,17,14
rando – bivouac,bivouac en montagne,110,fr,fr,3,https://piedvert.com/equipement-bivouac,"3769,14",...,+,,14,22,-1,69,40,41,67,69,63,65,71,76,56,52,35,32,57,72,66,68
territoire,camping vercors,3600,fr,fr,3,https://piedvert.com/camping-vercors,"3881,12",...,+,,12,18,-1,-1,60,60,-1,-1,-1,-1,-1,,,,,,,,,
activité,escape game nature,170,fr,fr,1,https://piedvert.com/escape-game,"3953,18",...,-,,18,11,16,4,12,12,2,9,3,3,4,4,4,2,3,3,3,17,48,20
territoire,le clariant,170,fr,fr,5,https://piedvert.com/escape-clariant,"4027,2",...,-,,20,19,14,10,10,10,9,8,9,9,8,8,10,10,10,9,13,17,17,16
métier,accompagnateur en montagne,170,fr,fr,5,https://piedvert.com/accompagnateur-montagne,"4053,2",...,=,,20,20,17,15,12,13,11,15,9,10,11,11,11,13,13,13,16,19,20,19
entreprise,Team building montagne,40,fr,fr,5,https://piedvert.com/team-building,"4120,17",...,+,,17,18,26,25,21,41,22,26,24,32,29,28,21,20,18,35,35,40,74,-1
rando,rando découverte vercors,0,fr,fr,3,https://piedvert.com/rando-vercors,"4233,23",...,-,,23,10,5,1,5,5,5,5,5,5,5,5,5,6,6,6,4,5,7,6
rando,rando vercors,2800,fr,fr,5,https://piedvert.com/rando-vercors-famille,"4242,2",...,-,,20,17,20,10,15,16,11,15,13,13,13,14,15,14,15,17,18,18,21,20
métier,diplome accompagnateur montagne,10,fr,fr,3,https://piedvert.com/accompagnateur-montagne,"4271,28",...,-,,28,19,15,12,12,16,16,15,16,16,17,16,15,17,17,16,16,16,-1,-1
scolaire,animaux montagne,480,fr,fr,5,https://piedvert.com/animaux-montagne,"4327,17",...,-,,17,16,14,10,10,12,14,18,15,14,20,20,19,19,17,17,20,20,20,21
activité,activité villard de lans,260,fr,fr,8,https://piedvert.com/activite-nature,"4348,21",...,-,,21,17,18,15,18,23,20,20,21,21,22,14,15,17,21,21,28,29,25,29
scolaire,Classe découverte vercors,0,fr,fr,8,https://piedvert.com/education-environnement,"4717,23",...,-,,23,17,11,14,11,11,9,8,8,11,11,8,11,9,11,13,13,19,17,15
activité – neige,construire un igloo,140,fr,fr,3,https://piedvert.com/igloo,"4865,33",...,-,,33,27,21,12,14,15,16,18,18,17,28,27,29,26,44,44,27,30,27,29
activité – neige,dormir dans un igloo,260,fr,fr,3,https://piedvert.com/igloo,"5309,18",...,+,,18,25,-1,31,36,32,36,39,37,34,37,35,22,23,48,48,24,25,23,29
rando – trek,trek vercors,50,fr,fr,5,https://piedvert.com/rando-vercors,"5468,19",...,+,,19,23,14,7,9,8,12,15,13,13,13,13,17,12,15,12,17,20,25,31
scolaire,Centre Loisirs Montagne,0,fr,fr,5,https://piedvert.com/loisirs-nature,"5505,26",...,-,,26,22,-1,36,35,45,59,77,73,71,42,36,32,32,39,40,36,38,41,38
évènement – evg,enterrement de vie de garçon grenoble,10,fr,fr,5,https://piedvert.com/evjf-nature,"5961,33",...,-,,33,21,20,20,20,21,20,20,29,39,35,38,41,41,46,39,44,64,67,80
rando – vercors,hauts plateaux du vercors,110,fr,fr,5,https://piedvert.com/hauts-plateaux-vercors,"6166,27",...,-,,27,17,24,13,13,13,9,15,11,12,13,16,15,45,-1,-1,51,-1,-1,
rando – trek,week end randonnée,390,fr,fr,5,https://piedvert.com/weekend-rando,"6171,36",...,-,,36,22,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
activité – neige,nuit en igloo,210,fr,fr,3,https://piedvert.com/igloo,"6266,25",...,-,,25,20,-1,43,36,41,38,75,39,73,85,76,78,68,53,53,87,93,86,-1
rando – trek,gr 91 vercors,110,fr,fr,5,https://piedvert.com/trek-vercors,"7426,36",...,-,,36,18,22,-1,22,23,27,24,23,88,26,26,39,36,35,41,50,51,43,-1
évènement – evg,evjf grenoble,90,fr,fr,5,https://piedvert.com/evjf-nature,"7663,45",...,-,,45,12,6,19,16,23,18,14,16,14,13,13,14,26,28,19,21,40,43,-1
territoire,séjour vercors,110,fr,fr,5,https://piedvert.com/sejour-vercors,"8049,4",...,-,,40,35,-1,26,27,23,39,38,29,27,28,29,25,23,17,19,19,18,21,19
territoire,hotel vercors,720,fr,fr,5,https://piedvert.com/hotel-vercors,"8964,37",...,-,,37,23,-1,29,33,37,39,54,38,42,47,45,45,40,43,44,42,40,40,40
faune,brame du cerf,8100,fr,fr,5,https://piedvert.com/brame-cerf,"9200,5",...,-,,50,14,-1,29,81,94,72,33,31,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
activité,escape game extérieur,390,fr,fr,5,https://piedvert.com/escape-game,"10120,42",...,-,,42,18,21,15,15,15,2,16,4,4,6,5,9,5,5,5,6,15,27,23
rando – trek,grande traversée du vercors,170,fr,fr,5,https://piedvert.com/trek-vercors,"13306,67",...,-,,67,33,-1,37,26,23,22,21,22,23,23,34,55,58,56,-1,54,51,53,-1
métier,guide de randonnée,170,fr,fr,5,https://piedvert.com/accompagnateur-montagne,"15940,79",...,-,,79,57,-1,65,64,59,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
activité,box nature,140,fr,fr,5,https://piedvert.com/box-nature,"17867,87",...,+,,87,-1,-1,56,-1,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,-1,74,59
entreprise,incentive grenoble,0,fr,fr,5,,-1,....,x,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
entreprise,lieu séminaire grenoble,0,fr,fr,5,,-1,....,x,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
scolaire,éducation à l’environnement,140,fr,fr,5,,-1,....,x,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
activité,escape game foret,260,fr,fr,1,,-1,....,x,,-1,34,-1,59,64,60,41,61,58,38,23,26,22,19,13,13,4,11,21,22
entreprise,seminaire grenoble,90,fr,fr,5,,-1,....,x,,-1,41,-1,75,85,85,91,84,85,91,-1,-1,92,-1,-1,-1,-1,-1,-1,-1
